times,day_ahead_price,real_time_price,load_actual,wind_solar_actual
2025/1/1 0:15,223.74,330,77430,4345.3746
2025/1/1 0:30,268.98,337,79740,4365.9982
2025/1/1 0:45,261.07,300,79556.797,4417.3059
2025/1/1 1:00,254.78,320,79058.203,4397.0404
2025/1/1 1:15,249.84,320,77559.703,4413.3578
2025/1/1 1:30,246.43,337,76561.602,4515.2708
2025/1/1 1:45,221.47,330,74837.5,4580.9299
2025/1/1 2:00,167,330,74640.602,4682.8112
2025/1/1 2:15,207.46,330,73890,4769.4888
2025/1/1 2:30,159,340,72692.5,4900.0558
2025/1/1 2:45,155.73,335,70660.898,5082.0454
2025/1/1 3:00,173.62,300,70065.398,5133.7289
2025/1/1 3:15,150,307.1,70048.5,5191.51
2025/1/1 3:30,154.67,506.11,69158.102,5256.0467
2025/1/1 3:45,144.22,310,68418.203,5288.8469
2025/1/1 4:00,88.75,307,67489,5248.2324
2025/1/1 4:15,83.77,313,66255.703,5259.5929
2025/1/1 4:30,83.77,299,66298.297,5261.5368
2025/1/1 4:45,87,320,65649.203,5258.7897
2025/1/1 5:00,82.96,320,65151.398,5249.6983
2025/1/1 5:15,90.82,299.1,64405.199,5243.2173
2025/1/1 5:30,95,305,64318.199,5276.8933
2025/1/1 5:45,70.8,310.7,63852.398,5248.1733
2025/1/1 6:00,83.77,313,64634.699,5233.1658
2025/1/1 6:15,83.77,315,64657.102,5221.3929
2025/1/1 6:30,100,330,64575.602,5278.0513
2025/1/1 6:45,137,330,65102.898,5297.8017
2025/1/1 7:00,147,331,64800.5,5460.1104
2025/1/1 7:15,178.6,331,65098.898,5473.603
2025/1/1 7:30,159,280,66915.898,5338.3527
2025/1/1 7:45,175.84,299.1,67373.102,5540.3333
2025/1/1 8:00,158.2,431.94,67412.203,5700.3912
2025/1/1 8:15,69.18,292.29,65475.699,6023.1722
2025/1/1 8:30,94.16,290,64383.102,6361.6208
2025/1/1 8:45,49.64,0.14,64101.5,6707.1109
2025/1/1 9:00,71.89,145.93,64008.301,6998.0446
2025/1/1 9:15,139.62,290.14,64464.102,7483.5044
2025/1/1 9:30,60.01,95.05,64477.301,7865.7327
2025/1/1 9:45,68.22,74.96,64648.301,8432.6201
2025/1/1 10:00,69.49,92.75,64349,8851.9136
2025/1/1 10:15,69.59,285.97,64080.602,9247.5806
2025/1/1 10:30,51.96,145.84,63274.5,9748.9957
2025/1/1 10:45,63.67,69.34,62540.801,10277.9092
2025/1/1 11:00,66.57,1.88,62428.102,10434.2675
2025/1/1 11:15,57.26,46,63058.699,10458.865
2025/1/1 11:30,61.46,104.6,63589.602,10657.1487
2025/1/1 11:45,67.76,271.51,62818.602,10666.918
2025/1/1 12:00,63.21,209.78,62383.898,10426.4243
2025/1/1 12:15,10.08,743.3,60230.199,10416.3589
2025/1/1 12:30,9.4,175,61502.199,10431.6108
2025/1/1 12:45,0,301.01,61196.102,10151.4099
2025/1/1 13:00,0,196.37,60360.398,9949.4375
2025/1/1 13:15,0.01,146.68,59757.301,9726.3845
2025/1/1 13:30,0.03,164.34,60019.398,9561.2148
2025/1/1 13:45,0.61,262.02,60306.602,9288.5376
2025/1/1 14:00,0.03,290.53,61372.898,9117.2313
2025/1/1 14:15,0.15,295,60483.102,8588.7491
2025/1/1 14:30,0.5,288.26,59722.398,8477.2502
2025/1/1 14:45,0.12,334.38,59827.102,8134.0325
2025/1/1 15:00,0.03,308.06,60067.898,7683.2222
2025/1/1 15:15,0.02,357.01,60496.602,7244.8428
2025/1/1 15:30,10.23,304.24,61642.898,6760.729
2025/1/1 15:45,51.86,650.03,62506.898,6277.4214
2025/1/1 16:00,82.65,337.08,63325,5791.6196
2025/1/1 16:15,161.29,315,65078.5,5344.49
2025/1/1 16:30,85.09,331.35,66923.797,4822.0376
2025/1/1 16:45,83.81,321.35,68478.203,4390.9247
2025/1/1 17:00,85.29,342.73,70562.203,3957.0962
2025/1/1 17:15,135.16,330,72634.102,3575.1601
2025/1/1 17:30,227.25,376,75273.797,3131.4821
2025/1/1 17:45,260.91,334.08,74958.898,2931.4593
2025/1/1 18:00,277.23,349.94,77601.297,2919.1512
2025/1/1 18:15,283.15,395,79436.203,2965.4069
2025/1/1 18:30,292.3,380,80952.602,3252.2578
2025/1/1 18:45,295.18,391,81615.898,3557.877
2025/1/1 19:00,295.62,370,79872,3620.5185
2025/1/1 19:15,295.41,320,80439.703,3767.2095
2025/1/1 19:30,295.21,380,82823.297,3813.6291
2025/1/1 19:45,296.53,380,82837.898,3863.1065
2025/1/1 20:00,294.36,370,83302.5,3836.4879
2025/1/1 20:15,294.83,350,82575.703,3751.7927
2025/1/1 20:30,295.09,379,83623,3883.7364
2025/1/1 20:45,299.2,370,83015,3943.5362
2025/1/1 21:00,295.25,370,83505,4111.3139
2025/1/1 21:15,295.26,400,83207.297,4208.4761
2025/1/1 21:30,298.09,410,83581.102,4178.3428
2025/1/1 21:45,294.2,410,82858.703,4131.7203
2025/1/1 22:00,295.09,425,81935.203,4161.2273
2025/1/1 22:15,291.98,430,80239.297,4278.0985
2025/1/1 22:30,292.33,380,78493.102,4348.5333
2025/1/1 22:45,285.39,333.7,76439.5,4453.049
2025/1/1 23:00,267.09,330,74693.898,4406.212
2025/1/1 23:15,263.75,335,72681.203,4479.3891
2025/1/1 23:30,261.09,332.1,69924.602,4405.9024
2025/1/1 23:45,255.08,295,68307.297,4382.8066
2025/1/2 0:00,180.08,300,66953.703,4371.9534
2025/1/2 0:15,326.32,247,66588.797,4365.1759
2025/1/2 0:30,332,373,71291.703,4511.8099
2025/1/2 0:45,303.11,382.42,70530,4588.5107
2025/1/2 1:00,300.11,330,68726,4531.0748
2025/1/2 1:15,295.94,300,66167.297,4651.4596
2025/1/2 1:30,295.15,308.1,65238.898,4729.6436
2025/1/2 1:45,290.22,318,64123.301,4707.9919
2025/1/2 2:00,290.1,309,62927.602,4639.5548
2025/1/2 2:15,276,305,62262.199,4693.3553
2025/1/2 2:30,278.83,318,61214.301,4751.4759
2025/1/2 2:45,285,305,61165.898,4713.096
2025/1/2 3:00,269,417.98,59736.5,4687.4612
2025/1/2 3:15,245.42,277.83,59109,4607.2782
2025/1/2 3:30,221,289.23,58693.602,4557.2033
2025/1/2 3:45,197,247,57819.801,4337.3468
2025/1/2 4:00,123,169,57577.102,4352.1017
2025/1/2 4:15,106.18,285,58341.102,4465.567
2025/1/2 4:30,74.99,200.4,58698.801,4517.2087
2025/1/2 4:45,54,200.4,58010.898,4586.738
2025/1/2 5:00,68,182,58097.898,4708.4903
2025/1/2 5:15,71,173,58255,4624.2917
2025/1/2 5:30,101.29,215,58885.699,4503.0532
2025/1/2 5:45,103,219,59140,4370.9471
2025/1/2 6:00,175,290,60289.898,4433.7517
2025/1/2 6:15,249.76,299.1,61582.898,4576.8841
2025/1/2 6:30,289.97,334.11,64218.699,4729.764
2025/1/2 6:45,290.19,330,66229.5,4696.3242
2025/1/2 7:00,295,340,68728.703,4588.4084
2025/1/2 7:15,300.7,370,71226.5,4494.6598
2025/1/2 7:30,309.71,370,75265,4483.0491
2025/1/2 7:45,312.98,357,78153.102,4733.2029
2025/1/2 8:00,320.99,360,80359.203,4974.8055
2025/1/2 8:15,325.16,345,85265.297,5295.8307
2025/1/2 8:30,350.83,357,89833.203,5698.5928
2025/1/2 8:45,370.56,413,91430,6118.1256
2025/1/2 9:00,399.96,370,92573.203,6668.5337
2025/1/2 9:15,388.62,369.67,94098.602,7206.1858
2025/1/2 9:30,379.37,409.93,94628.898,7805.9165
2025/1/2 9:45,367.19,454.66,95721.602,8304.3599
2025/1/2 10:00,366.32,303.71,94978.5,8752.1465
