times,day_ahead_price,real_time_price,load_forecast,load_actual,wind_solar_actual,wind_solar_forecast
2026-01-01 00:15:00,235.01,290.1,79245,82059.398,7772.9208,6746.79
2026-01-01 00:30:00,279.76,323.1,87000,88582.898,7743.0672,7015.71
2026-01-01 00:45:00,271.24,247.87,86675,86800.297,7863.4959,7033.16
2026-01-01 01:00:00,266.13,263.99,84870,85962.703,8025.9464,7057.74
2026-01-01 01:15:00,259.12,247.01,83070,83956.602,8026.339,7082.02
2026-01-01 01:30:00,256.98,190.55,80960,82670.703,8147.581,7116.38
2026-01-01 01:45:00,254.29,222.92,79555,81276.898,8030.5626,7144.27
2026-01-01 02:00:00,255.1,227.75,78125,80029.398,8065.5686,7170.26
2026-01-01 02:15:00,260,240,76625,79787.102,8136.1807,7258.54
2026-01-01 02:30:00,252,250,75670,78001.398,8157.1693,7349.27
2026-01-01 02:45:00,252.11,150,74340,76502,8183.0032,7380.61
2026-01-01 03:00:00,257.25,150.38,73235,75798,8320.9794,7419.62
2026-01-01 03:15:00,252,196,72550,74550.102,8329.2652,7485.09
2026-01-01 03:30:00,248,206.69,70960,73716.703,8376.343,7532.79
2026-01-01 03:45:00,246.95,213.29,70095,72877.5,8405.5991,7576.81
2026-01-01 04:00:00,246.23,205.06,68810,72248.797,8464.3511,7628.76
2026-01-01 04:15:00,236.38,200.41,67895,71103.797,8580.0277,7880.03
2026-01-01 04:30:00,213.39,200,67080,70569.703,8663.4064,7920.3
2026-01-01 04:45:00,229.7,191.42,66355,69393.203,8659.74,7955.07
2026-01-01 05:00:00,208.59,150.3,65540,68679.398,8702.1931,7986.67
2026-01-01 05:15:00,217.71,121.24,65270,68472.102,8652.9989,8031.68
2026-01-01 05:30:00,223.2,200,65180,68125.898,8812.7587,8063.56
2026-01-01 05:45:00,217.11,0,65000,67877.398,8936.446,8095.96
2026-01-01 06:00:00,223.2,188.46,65180,68221.703,8918.1298,8131.72
2026-01-01 06:15:00,223.2,10.29,65360,67841.898,9048.741,7889.41
2026-01-01 06:30:00,244.45,150.15,66635,68287.898,9202.1232,7909.49
2026-01-01 06:45:00,240,-42.84,66815,68104,9228.7588,7929.98
2026-01-01 07:00:00,246.9,-0.81,67355,68711.297,9146.5249,7950.41
2026-01-01 07:15:00,240.25,0,67830,69161.102,9357.4919,7890.93
2026-01-01 07:30:00,242.09,0,68545,69318.102,9439.5263,8034.51
2026-01-01 07:45:00,245.22,0,68540,69884.5,9535.2864,8266.94
2026-01-01 08:00:00,246.36,-45,67610,68350.797,9746.0754,8623.66
2026-01-01 08:15:00,245.25,-50,65935,66812.602,9938.1095,9124.71
2026-01-01 08:30:00,245.42,-50,65120,65145.602,10412.4027,9730.8
2026-01-01 08:45:00,235,-50,64245,63553.699,10714.0132,10391.9
2026-01-01 09:00:00,223.73,-50,64460,63344.699,10901.6059,11109.8
2026-01-01 09:15:00,219.43,-44.04,64605,63312.602,11421.4324,12032.9
2026-01-01 09:30:00,221.06,-45.27,64995,64198.5,12531.4214,12703.6
2026-01-01 09:45:00,201.36,-44.14,64585,64189.898,12851.0583,13352.6
2026-01-01 10:00:00,156.59,-44.14,64410,63512.5,12987.6729,13968.7
2026-01-01 10:15:00,156.95,-50,64400,62920.199,13176.691,14585.7
2026-01-01 10:30:00,7.65,-50,63340,60921.5,12181.2981,15094.2
2026-01-01 10:45:00,7.66,-50,63165,60892.5,12182.6787,15527.9
2026-01-01 11:00:00,-42.35,-39.72,62930,61169.301,11204.3286,15891.3
2026-01-01 11:15:00,-37.35,-50,63460,61496.898,12871.3384,16185.7
2026-01-01 11:30:00,-42.35,-49.46,64010,61727.398,12351.8814,16342.9
2026-01-01 11:45:00,-42.35,-37.91,63825,60898.898,11467.8352,16414.9
2026-01-01 12:00:00,-42.35,-41.97,62885,61152.301,10423.8464,16416.699
2026-01-01 12:15:00,-42.35,-42.81,62175,60495,10069.3156,16451.301
2026-01-01 12:30:00,-42.35,-39.76,63245,63765.5,10584.5112,16297.1
2026-01-01 12:45:00,-42.35,142.48,62565,63467.199,11529.2065,16117.2
2026-01-01 13:00:00,-42.35,-0.12,62030,63877,11272.5761,15867.2
2026-01-01 13:15:00,-42.35,-50,61245,62885.301,11402.7949,15559.6
2026-01-01 13:30:00,-42.35,-40.49,61395,63480.699,11020.0058,15232.2
2026-01-01 13:45:00,-40.48,12.12,61825,64119.699,11152.8259,14842.5
2026-01-01 14:00:00,-42.35,-18.47,61990,63835.801,10926.5708,14399.4
2026-01-01 14:15:00,-42.35,-38.96,61205,62626.301,10700.7231,13928.9
2026-01-01 14:30:00,-42.35,-38.38,59955,60530.102,10221.899,13317.9
2026-01-01 14:45:00,-42.35,-38.76,59500,61310.301,9814.3081,12770.5
2026-01-01 15:00:00,-42.35,-38.56,59910,61273.699,9210.5674,12200.6
2026-01-01 15:15:00,-40.9,-39.76,60570,62297.699,8865.6026,11606.1
