target,feature,feature_family,importance_mean,rank_in_target
day_ahead_price,lag_1,lag,0.47151480683197194,1
day_ahead_price,roll_mean_4,roll_mean,0.28550063163185346,2
day_ahead_price,lag_2,lag,0.03187434324690209,3
day_ahead_price,sin_slot96,calendar_time,0.026557406598257283,4
day_ahead_price,diff_1,diff,0.014903357785302523,5
day_ahead_price,lag_96,lag,0.014627082627833743,6
day_ahead_price,slot96,calendar_time,0.013255223241568942,7
day_ahead_price,minute,calendar_time,0.012600796682837234,8
day_ahead_price,roll_mean_16,roll_mean,0.011548306050826742,9
day_ahead_price,diff_96,diff,0.011519733918248625,10
real_time_price,lag_1,lag,0.30054089812060386,1
real_time_price,roll_mean_4,roll_mean,0.25244416723338264,2
real_time_price,holiday_name_Dragon Boat Festival,holiday_name,0.06724657604615618,3
real_time_price,roll_mean_16,roll_mean,0.04418386686041062,4
real_time_price,roll_mean_96,roll_mean,0.01981364559525475,5
real_time_price,is_holiday,holiday_binary,0.018631717343221357,6
real_time_price,roll_mean_672,roll_mean,0.018057061635399524,7
real_time_price,lag_2,lag,0.017086039245044985,8
real_time_price,slot96,calendar_time,0.016169759740408168,9
real_time_price,diff_96,diff,0.016102970734489307,10
spread_day_ahead_price,is_holiday,holiday_binary,0.25784128127939104,1
spread_day_ahead_price,is_workday,holiday_binary,0.17978920603568835,2
spread_day_ahead_price,diff_7,diff,0.0528790310001103,3
spread_day_ahead_price,roll_mean_7,roll_mean,0.0526896940248876,4
spread_day_ahead_price,dayofweek,calendar_time,0.05185751594048483,5
spread_day_ahead_price,roll_mean_14,roll_mean,0.05138822086758207,6
spread_day_ahead_price,month,calendar_time,0.049051373524886664,7
spread_day_ahead_price,after_holiday_1d,holiday_binary,0.0442389370361192,8
spread_day_ahead_price,roll_mean_3,roll_mean,0.042040872806532466,9
spread_day_ahead_price,lag_14,lag,0.04168684639543,10
spread_real_time_price,roll_mean_3,roll_mean,0.11968924802561796,1
spread_real_time_price,roll_mean_14,roll_mean,0.09694390994832168,2
spread_real_time_price,lag_28,lag,0.08316005052691354,3
spread_real_time_price,after_holiday_1d,holiday_binary,0.0790668846067254,4
spread_real_time_price,roll_std_7,roll_std,0.07658700301289954,5
spread_real_time_price,is_holiday,holiday_binary,0.06851289983876423,6
spread_real_time_price,diff_7,diff,0.06659469724027593,7
spread_real_time_price,dayofweek,calendar_time,0.0657321138037776,8
spread_real_time_price,month,calendar_time,0.0648061222575529,9
spread_real_time_price,roll_mean_7,roll_mean,0.06202481019150723,10
