target,scheme,segment,feature,importance_mean,importance_rank
day_ahead_price,chronos_xgb_residual_xgb_part,flat,roll_mean_4,0.5634778141975403,1
day_ahead_price,chronos_xgb_residual_xgb_part,flat,lag_1,0.2106572389602661,2
day_ahead_price,chronos_xgb_residual_xgb_part,flat,minute,0.01817232184112072,3
day_ahead_price,chronos_xgb_residual_xgb_part,flat,sin_slot96,0.016699248924851418,4
day_ahead_price,chronos_xgb_residual_xgb_part,flat,hour,0.01659439504146576,5
day_ahead_price,chronos_xgb_residual_xgb_part,flat,diff_1,0.01573847606778145,6
day_ahead_price,chronos_xgb_residual_xgb_part,flat,dayofweek,0.015318230725824833,7
day_ahead_price,chronos_xgb_residual_xgb_part,flat,roll_mean_16,0.014816551469266415,8
day_ahead_price,chronos_xgb_residual_xgb_part,flat,roll_mean_672,0.014349095523357391,9
day_ahead_price,chronos_xgb_residual_xgb_part,flat,lag_2,0.014099043793976307,10
day_ahead_price,chronos_xgb_residual_xgb_part,flat,diff_96,0.013659424148499966,11
day_ahead_price,chronos_xgb_residual_xgb_part,flat,lag_4,0.013392526656389236,12
day_ahead_price,chronos_xgb_residual_xgb_part,flat,lag_96,0.011579863727092743,13
day_ahead_price,chronos_xgb_residual_xgb_part,flat,is_holiday,0.011390346102416515,14
day_ahead_price,chronos_xgb_residual_xgb_part,flat,lag_672,0.010271983221173286,15
day_ahead_price,chronos_xgb_residual_xgb_part,flat,lag_192,0.009331544861197472,16
day_ahead_price,chronos_xgb_residual_xgb_part,flat,roll_mean_96,0.008651136420667171,17
day_ahead_price,chronos_xgb_residual_xgb_part,flat,roll_std_96,0.00839547161012888,18
day_ahead_price,chronos_xgb_residual_xgb_part,flat,cos_slot96,0.006952736992388964,19
day_ahead_price,chronos_xgb_residual_xgb_part,flat,slot96,0.005469048861414194,20
day_ahead_price,chronos_xgb_residual_xgb_part,flat,holiday_name_Mid-autumn Festival,0.000983508420176804,21
day_ahead_price,chronos_xgb_residual_xgb_part,flat,after_holiday_1d,0.0,22
day_ahead_price,chronos_xgb_residual_xgb_part,flat,before_holiday_1d,0.0,23
day_ahead_price,chronos_xgb_residual_xgb_part,flat,holiday_name_Dragon Boat Festival,0.0,24
day_ahead_price,chronos_xgb_residual_xgb_part,flat,holiday_name_Labour Day,0.0,25
day_ahead_price,chronos_xgb_residual_xgb_part,flat,holiday_name_National Day,0.0,26
day_ahead_price,chronos_xgb_residual_xgb_part,flat,holiday_name_New Year's Day,0.0,27
day_ahead_price,chronos_xgb_residual_xgb_part,flat,holiday_name_None,0.0,28
day_ahead_price,chronos_xgb_residual_xgb_part,flat,holiday_name_Spring Festival,0.0,29
day_ahead_price,chronos_xgb_residual_xgb_part,flat,holiday_name_Tomb-sweeping Day,0.0,30
day_ahead_price,chronos_xgb_residual_xgb_part,flat,is_makeup_workday,0.0,31
day_ahead_price,chronos_xgb_residual_xgb_part,flat,is_weekend,0.0,32
day_ahead_price,chronos_xgb_residual_xgb_part,flat,is_workday,0.0,33
day_ahead_price,chronos_xgb_residual_xgb_part,global,lag_1,0.5748740434646606,1
day_ahead_price,chronos_xgb_residual_xgb_part,global,roll_mean_4,0.2245984673500061,2
day_ahead_price,chronos_xgb_residual_xgb_part,global,roll_mean_672,0.02258194237947464,3
day_ahead_price,chronos_xgb_residual_xgb_part,global,lag_2,0.01768994703888893,4
day_ahead_price,chronos_xgb_residual_xgb_part,global,roll_mean_16,0.013732684776186943,5
day_ahead_price,chronos_xgb_residual_xgb_part,global,minute,0.013317201286554337,6
day_ahead_price,chronos_xgb_residual_xgb_part,global,lag_4,0.013019060716032982,7
day_ahead_price,chronos_xgb_residual_xgb_part,global,sin_slot96,0.011353925801813602,8
day_ahead_price,chronos_xgb_residual_xgb_part,global,holiday_name_National Day,0.011035594157874584,9
day_ahead_price,chronos_xgb_residual_xgb_part,global,diff_1,0.010495100170373917,10
day_ahead_price,chronos_xgb_residual_xgb_part,global,roll_mean_96,0.01030921284109354,11
day_ahead_price,chronos_xgb_residual_xgb_part,global,lag_96,0.010044406168162823,12
day_ahead_price,chronos_xgb_residual_xgb_part,global,slot96,0.009591314941644669,13
day_ahead_price,chronos_xgb_residual_xgb_part,global,lag_192,0.009292485192418098,14
day_ahead_price,chronos_xgb_residual_xgb_part,global,dayofweek,0.008134572766721249,15
day_ahead_price,chronos_xgb_residual_xgb_part,global,lag_672,0.0077403089962899685,16
day_ahead_price,chronos_xgb_residual_xgb_part,global,diff_96,0.0071631381288170815,17
day_ahead_price,chronos_xgb_residual_xgb_part,global,hour,0.006355355493724346,18
day_ahead_price,chronos_xgb_residual_xgb_part,global,roll_std_96,0.006162778474390507,19
day_ahead_price,chronos_xgb_residual_xgb_part,global,cos_slot96,0.004733062349259853,20
day_ahead_price,chronos_xgb_residual_xgb_part,global,before_holiday_1d,0.004716846160590649,21
day_ahead_price,chronos_xgb_residual_xgb_part,global,is_holiday,0.0030585527420043945,22
day_ahead_price,chronos_xgb_residual_xgb_part,global,after_holiday_1d,0.0,23
day_ahead_price,chronos_xgb_residual_xgb_part,global,holiday_name_Dragon Boat Festival,0.0,24
day_ahead_price,chronos_xgb_residual_xgb_part,global,holiday_name_Labour Day,0.0,25
day_ahead_price,chronos_xgb_residual_xgb_part,global,holiday_name_Mid-autumn Festival,0.0,26
day_ahead_price,chronos_xgb_residual_xgb_part,global,holiday_name_New Year's Day,0.0,27
day_ahead_price,chronos_xgb_residual_xgb_part,global,holiday_name_None,0.0,28
day_ahead_price,chronos_xgb_residual_xgb_part,global,holiday_name_Spring Festival,0.0,29
day_ahead_price,chronos_xgb_residual_xgb_part,global,holiday_name_Tomb-sweeping Day,0.0,30
day_ahead_price,chronos_xgb_residual_xgb_part,global,is_makeup_workday,0.0,31
day_ahead_price,chronos_xgb_residual_xgb_part,global,is_weekend,0.0,32
day_ahead_price,chronos_xgb_residual_xgb_part,global,is_workday,0.0,33
day_ahead_price,chronos_xgb_residual_xgb_part,peak,lag_1,0.5422860980033875,1
day_ahead_price,chronos_xgb_residual_xgb_part,peak,roll_mean_4,0.21117433905601501,2
day_ahead_price,chronos_xgb_residual_xgb_part,peak,holiday_name_National Day,0.033728957176208496,3
day_ahead_price,chronos_xgb_residual_xgb_part,peak,lag_2,0.024486307054758072,4
day_ahead_price,chronos_xgb_residual_xgb_part,peak,sin_slot96,0.018738145008683205,5
day_ahead_price,chronos_xgb_residual_xgb_part,peak,lag_4,0.015489164739847183,6
day_ahead_price,chronos_xgb_residual_xgb_part,peak,roll_mean_16,0.015267622657120228,7
day_ahead_price,chronos_xgb_residual_xgb_part,peak,diff_1,0.01415400393307209,8
day_ahead_price,chronos_xgb_residual_xgb_part,peak,roll_mean_96,0.013660573400557041,9
day_ahead_price,chronos_xgb_residual_xgb_part,peak,hour,0.012504409067332745,10
day_ahead_price,chronos_xgb_residual_xgb_part,peak,slot96,0.01120072416961193,11
day_ahead_price,chronos_xgb_residual_xgb_part,peak,before_holiday_1d,0.011020520702004433,12
day_ahead_price,chronos_xgb_residual_xgb_part,peak,roll_mean_672,0.010926332324743271,13
day_ahead_price,chronos_xgb_residual_xgb_part,peak,lag_672,0.010892663151025772,14
day_ahead_price,chronos_xgb_residual_xgb_part,peak,diff_96,0.010053310543298721,15
day_ahead_price,chronos_xgb_residual_xgb_part,peak,lag_192,0.009729195386171341,16
day_ahead_price,chronos_xgb_residual_xgb_part,peak,dayofweek,0.007859728299081326,17
day_ahead_price,chronos_xgb_residual_xgb_part,peak,roll_std_96,0.007066427264362574,18
day_ahead_price,chronos_xgb_residual_xgb_part,peak,minute,0.006972100120037794,19
day_ahead_price,chronos_xgb_residual_xgb_part,peak,lag_96,0.006199920084327459,20
day_ahead_price,chronos_xgb_residual_xgb_part,peak,is_holiday,0.004484338220208883,21
day_ahead_price,chronos_xgb_residual_xgb_part,peak,cos_slot96,0.002105164574459195,22
day_ahead_price,chronos_xgb_residual_xgb_part,peak,after_holiday_1d,0.0,23
day_ahead_price,chronos_xgb_residual_xgb_part,peak,holiday_name_Dragon Boat Festival,0.0,24
day_ahead_price,chronos_xgb_residual_xgb_part,peak,holiday_name_Labour Day,0.0,25
day_ahead_price,chronos_xgb_residual_xgb_part,peak,holiday_name_Mid-autumn Festival,0.0,26
day_ahead_price,chronos_xgb_residual_xgb_part,peak,holiday_name_New Year's Day,0.0,27
day_ahead_price,chronos_xgb_residual_xgb_part,peak,holiday_name_None,0.0,28
day_ahead_price,chronos_xgb_residual_xgb_part,peak,holiday_name_Spring Festival,0.0,29
day_ahead_price,chronos_xgb_residual_xgb_part,peak,holiday_name_Tomb-sweeping Day,0.0,30
day_ahead_price,chronos_xgb_residual_xgb_part,peak,is_makeup_workday,0.0,31
day_ahead_price,chronos_xgb_residual_xgb_part,peak,is_weekend,0.0,32
day_ahead_price,chronos_xgb_residual_xgb_part,peak,is_workday,0.0,33
day_ahead_price,chronos_xgb_residual_xgb_part,valley,lag_1,0.4965350031852722,1
day_ahead_price,chronos_xgb_residual_xgb_part,valley,roll_mean_4,0.20147240161895752,2
day_ahead_price,chronos_xgb_residual_xgb_part,valley,sin_slot96,0.05422236770391464,3
day_ahead_price,chronos_xgb_residual_xgb_part,valley,dayofweek,0.022994941100478172,4
day_ahead_price,chronos_xgb_residual_xgb_part,valley,lag_2,0.021956993266940117,5
day_ahead_price,chronos_xgb_residual_xgb_part,valley,lag_96,0.01957753300666809,6
day_ahead_price,chronos_xgb_residual_xgb_part,valley,slot96,0.01681067794561386,7
day_ahead_price,chronos_xgb_residual_xgb_part,valley,diff_1,0.0162774957716465,8
day_ahead_price,chronos_xgb_residual_xgb_part,valley,hour,0.015625422820448875,9
day_ahead_price,chronos_xgb_residual_xgb_part,valley,roll_mean_16,0.015116365626454353,10
day_ahead_price,chronos_xgb_residual_xgb_part,valley,diff_96,0.013864969834685326,11
day_ahead_price,chronos_xgb_residual_xgb_part,valley,roll_mean_96,0.013390050269663334,12
day_ahead_price,chronos_xgb_residual_xgb_part,valley,roll_mean_672,0.01316683180630207,13
day_ahead_price,chronos_xgb_residual_xgb_part,valley,holiday_name_National Day,0.013123981654644012,14
day_ahead_price,chronos_xgb_residual_xgb_part,valley,roll_std_96,0.013028432615101337,15
day_ahead_price,chronos_xgb_residual_xgb_part,valley,minute,0.011411375366151333,16
day_ahead_price,chronos_xgb_residual_xgb_part,valley,lag_672,0.00794992595911026,17
day_ahead_price,chronos_xgb_residual_xgb_part,valley,lag_192,0.006923921871930361,18
day_ahead_price,chronos_xgb_residual_xgb_part,valley,lag_4,0.006459150929003954,19
day_ahead_price,chronos_xgb_residual_xgb_part,valley,before_holiday_1d,0.006406846921890974,20
day_ahead_price,chronos_xgb_residual_xgb_part,valley,cos_slot96,0.005204631946980953,21
day_ahead_price,chronos_xgb_residual_xgb_part,valley,holiday_name_Spring Festival,0.003981877584010363,22
day_ahead_price,chronos_xgb_residual_xgb_part,valley,holiday_name_None,0.002526346128433943,23
day_ahead_price,chronos_xgb_residual_xgb_part,valley,is_makeup_workday,0.001972401514649391,24
day_ahead_price,chronos_xgb_residual_xgb_part,valley,after_holiday_1d,0.0,25
day_ahead_price,chronos_xgb_residual_xgb_part,valley,holiday_name_Dragon Boat Festival,0.0,26
day_ahead_price,chronos_xgb_residual_xgb_part,valley,holiday_name_Labour Day,0.0,27
day_ahead_price,chronos_xgb_residual_xgb_part,valley,holiday_name_Mid-autumn Festival,0.0,28
day_ahead_price,chronos_xgb_residual_xgb_part,valley,holiday_name_New Year's Day,0.0,29
day_ahead_price,chronos_xgb_residual_xgb_part,valley,holiday_name_Tomb-sweeping Day,0.0,30
day_ahead_price,chronos_xgb_residual_xgb_part,valley,is_holiday,0.0,31
day_ahead_price,chronos_xgb_residual_xgb_part,valley,is_weekend,0.0,32
day_ahead_price,chronos_xgb_residual_xgb_part,valley,is_workday,0.0,33
day_ahead_price,xgb_only,flat,lag_1,0.5206059813499451,1
day_ahead_price,xgb_only,flat,roll_mean_4,0.2158152014017105,2
day_ahead_price,xgb_only,flat,sin_slot96,0.04319494217634201,3
day_ahead_price,xgb_only,flat,lag_96,0.02757500857114792,4
day_ahead_price,xgb_only,flat,lag_2,0.020443545654416084,5
day_ahead_price,xgb_only,flat,minute,0.018922677263617516,6
day_ahead_price,xgb_only,flat,diff_1,0.015623523853719234,7
day_ahead_price,xgb_only,flat,dayofweek,0.015221349895000458,8
day_ahead_price,xgb_only,flat,lag_672,0.013727795332670212,9
day_ahead_price,xgb_only,flat,hour,0.0129246786236763,10
