target,scheme,segment,model_scope,retrain_time,event_type,feature,importance
day_ahead_price,xgb_only,global,global_model,2026-01-01 00:15:00,weekly,lag_1,0.559650182723999
day_ahead_price,xgb_only,global,global_model,2026-01-01 00:15:00,weekly,lag_2,0.011283277533948421
day_ahead_price,xgb_only,global,global_model,2026-01-01 00:15:00,weekly,lag_4,0.006145302671939135
day_ahead_price,xgb_only,global,global_model,2026-01-01 00:15:00,weekly,lag_96,0.01726481504738331
day_ahead_price,xgb_only,global,global_model,2026-01-01 00:15:00,weekly,lag_192,0.009473689831793308
day_ahead_price,xgb_only,global,global_model,2026-01-01 00:15:00,weekly,lag_672,0.010983100160956383
day_ahead_price,xgb_only,global,global_model,2026-01-01 00:15:00,weekly,roll_mean_4,0.2639661431312561
day_ahead_price,xgb_only,global,global_model,2026-01-01 00:15:00,weekly,roll_mean_16,0.005282025318592787
day_ahead_price,xgb_only,global,global_model,2026-01-01 00:15:00,weekly,roll_mean_96,0.008445922285318375
day_ahead_price,xgb_only,global,global_model,2026-01-01 00:15:00,weekly,roll_mean_672,0.004530805163085461
day_ahead_price,xgb_only,global,global_model,2026-01-01 00:15:00,weekly,roll_std_96,0.007540739141404629
day_ahead_price,xgb_only,global,global_model,2026-01-01 00:15:00,weekly,diff_1,0.012977872975170612
day_ahead_price,xgb_only,global,global_model,2026-01-01 00:15:00,weekly,diff_96,0.011040669865906239
day_ahead_price,xgb_only,global,global_model,2026-01-01 00:15:00,weekly,hour,0.0028099503833800554
day_ahead_price,xgb_only,global,global_model,2026-01-01 00:15:00,weekly,minute,0.01197702158242464
day_ahead_price,xgb_only,global,global_model,2026-01-01 00:15:00,weekly,dayofweek,0.006090790499001741
day_ahead_price,xgb_only,global,global_model,2026-01-01 00:15:00,weekly,slot96,0.01062468159943819
day_ahead_price,xgb_only,global,global_model,2026-01-01 00:15:00,weekly,sin_slot96,0.01131358090788126
day_ahead_price,xgb_only,global,global_model,2026-01-01 00:15:00,weekly,cos_slot96,0.01040258165448904
day_ahead_price,xgb_only,global,global_model,2026-01-01 00:15:00,weekly,is_holiday,0.011233878321945667
day_ahead_price,xgb_only,global,global_model,2026-01-01 00:15:00,weekly,is_workday,0.0
day_ahead_price,xgb_only,global,global_model,2026-01-01 00:15:00,weekly,is_weekend,0.0
day_ahead_price,xgb_only,global,global_model,2026-01-01 00:15:00,weekly,is_makeup_workday,0.0
day_ahead_price,xgb_only,global,global_model,2026-01-01 00:15:00,weekly,before_holiday_1d,0.0
day_ahead_price,xgb_only,global,global_model,2026-01-01 00:15:00,weekly,after_holiday_1d,0.0
day_ahead_price,xgb_only,global,global_model,2026-01-01 00:15:00,weekly,holiday_name_Dragon Boat Festival,0.0
day_ahead_price,xgb_only,global,global_model,2026-01-01 00:15:00,weekly,holiday_name_Labour Day,0.0
day_ahead_price,xgb_only,global,global_model,2026-01-01 00:15:00,weekly,holiday_name_Mid-autumn Festival,0.0
day_ahead_price,xgb_only,global,global_model,2026-01-01 00:15:00,weekly,holiday_name_National Day,0.006962940562516451
day_ahead_price,xgb_only,global,global_model,2026-01-01 00:15:00,weekly,holiday_name_New Year's Day,0.0
day_ahead_price,xgb_only,global,global_model,2026-01-01 00:15:00,weekly,holiday_name_None,0.0
day_ahead_price,xgb_only,global,global_model,2026-01-01 00:15:00,weekly,holiday_name_Spring Festival,0.0
day_ahead_price,xgb_only,global,global_model,2026-01-01 00:15:00,weekly,holiday_name_Tomb-sweeping Day,0.0
day_ahead_price,xgb_only,valley,segment_model,2026-01-01 00:15:00,weekly,lag_1,0.4795839488506317
day_ahead_price,xgb_only,valley,segment_model,2026-01-01 00:15:00,weekly,lag_2,0.043146394193172455
day_ahead_price,xgb_only,valley,segment_model,2026-01-01 00:15:00,weekly,lag_4,0.006964714266359806
day_ahead_price,xgb_only,valley,segment_model,2026-01-01 00:15:00,weekly,lag_96,0.014203369617462158
day_ahead_price,xgb_only,valley,segment_model,2026-01-01 00:15:00,weekly,lag_192,0.011174351908266544
day_ahead_price,xgb_only,valley,segment_model,2026-01-01 00:15:00,weekly,lag_672,0.013473373837769032
day_ahead_price,xgb_only,valley,segment_model,2026-01-01 00:15:00,weekly,roll_mean_4,0.28820711374282837
day_ahead_price,xgb_only,valley,segment_model,2026-01-01 00:15:00,weekly,roll_mean_16,0.009678644128143787
day_ahead_price,xgb_only,valley,segment_model,2026-01-01 00:15:00,weekly,roll_mean_96,0.004734201822429895
day_ahead_price,xgb_only,valley,segment_model,2026-01-01 00:15:00,weekly,roll_mean_672,0.006453425623476505
day_ahead_price,xgb_only,valley,segment_model,2026-01-01 00:15:00,weekly,roll_std_96,0.015574171207845211
day_ahead_price,xgb_only,valley,segment_model,2026-01-01 00:15:00,weekly,diff_1,0.014723654836416245
day_ahead_price,xgb_only,valley,segment_model,2026-01-01 00:15:00,weekly,diff_96,0.008626962080597878
day_ahead_price,xgb_only,valley,segment_model,2026-01-01 00:15:00,weekly,hour,0.008789525367319584
day_ahead_price,xgb_only,valley,segment_model,2026-01-01 00:15:00,weekly,minute,0.012907837517559528
day_ahead_price,xgb_only,valley,segment_model,2026-01-01 00:15:00,weekly,dayofweek,0.0036300593055784702
day_ahead_price,xgb_only,valley,segment_model,2026-01-01 00:15:00,weekly,slot96,0.015273163095116615
day_ahead_price,xgb_only,valley,segment_model,2026-01-01 00:15:00,weekly,sin_slot96,0.0083537632599473
day_ahead_price,xgb_only,valley,segment_model,2026-01-01 00:15:00,weekly,cos_slot96,0.00801590271294117
day_ahead_price,xgb_only,valley,segment_model,2026-01-01 00:15:00,weekly,is_holiday,0.004072888754308224
day_ahead_price,xgb_only,valley,segment_model,2026-01-01 00:15:00,weekly,is_workday,0.0024376835208386183
day_ahead_price,xgb_only,valley,segment_model,2026-01-01 00:15:00,weekly,is_weekend,0.0
day_ahead_price,xgb_only,valley,segment_model,2026-01-01 00:15:00,weekly,is_makeup_workday,0.0
day_ahead_price,xgb_only,valley,segment_model,2026-01-01 00:15:00,weekly,before_holiday_1d,0.015171085484325886
day_ahead_price,xgb_only,valley,segment_model,2026-01-01 00:15:00,weekly,after_holiday_1d,0.0020216896664351225
day_ahead_price,xgb_only,valley,segment_model,2026-01-01 00:15:00,weekly,holiday_name_Dragon Boat Festival,0.0
day_ahead_price,xgb_only,valley,segment_model,2026-01-01 00:15:00,weekly,holiday_name_Labour Day,0.0
day_ahead_price,xgb_only,valley,segment_model,2026-01-01 00:15:00,weekly,holiday_name_Mid-autumn Festival,0.0
day_ahead_price,xgb_only,valley,segment_model,2026-01-01 00:15:00,weekly,holiday_name_National Day,0.0
day_ahead_price,xgb_only,valley,segment_model,2026-01-01 00:15:00,weekly,holiday_name_New Year's Day,0.0
day_ahead_price,xgb_only,valley,segment_model,2026-01-01 00:15:00,weekly,holiday_name_None,0.0027821483090519905
day_ahead_price,xgb_only,valley,segment_model,2026-01-01 00:15:00,weekly,holiday_name_Spring Festival,0.0
day_ahead_price,xgb_only,valley,segment_model,2026-01-01 00:15:00,weekly,holiday_name_Tomb-sweeping Day,0.0
day_ahead_price,xgb_only,flat,segment_model,2026-01-01 00:15:00,weekly,lag_1,0.5206059813499451
day_ahead_price,xgb_only,flat,segment_model,2026-01-01 00:15:00,weekly,lag_2,0.020443545654416084
day_ahead_price,xgb_only,flat,segment_model,2026-01-01 00:15:00,weekly,lag_4,0.0070334626361727715
day_ahead_price,xgb_only,flat,segment_model,2026-01-01 00:15:00,weekly,lag_96,0.02757500857114792
day_ahead_price,xgb_only,flat,segment_model,2026-01-01 00:15:00,weekly,lag_192,0.006470974534749985
day_ahead_price,xgb_only,flat,segment_model,2026-01-01 00:15:00,weekly,lag_672,0.013727795332670212
day_ahead_price,xgb_only,flat,segment_model,2026-01-01 00:15:00,weekly,roll_mean_4,0.2158152014017105
day_ahead_price,xgb_only,flat,segment_model,2026-01-01 00:15:00,weekly,roll_mean_16,0.012101437896490097
day_ahead_price,xgb_only,flat,segment_model,2026-01-01 00:15:00,weekly,roll_mean_96,0.009628248400986195
day_ahead_price,xgb_only,flat,segment_model,2026-01-01 00:15:00,weekly,roll_mean_672,0.011053231544792652
day_ahead_price,xgb_only,flat,segment_model,2026-01-01 00:15:00,weekly,roll_std_96,0.005794331897050142
day_ahead_price,xgb_only,flat,segment_model,2026-01-01 00:15:00,weekly,diff_1,0.015623523853719234
day_ahead_price,xgb_only,flat,segment_model,2026-01-01 00:15:00,weekly,diff_96,0.01175011694431305
day_ahead_price,xgb_only,flat,segment_model,2026-01-01 00:15:00,weekly,hour,0.0129246786236763
day_ahead_price,xgb_only,flat,segment_model,2026-01-01 00:15:00,weekly,minute,0.018922677263617516
day_ahead_price,xgb_only,flat,segment_model,2026-01-01 00:15:00,weekly,dayofweek,0.015221349895000458
day_ahead_price,xgb_only,flat,segment_model,2026-01-01 00:15:00,weekly,slot96,0.010280757211148739
day_ahead_price,xgb_only,flat,segment_model,2026-01-01 00:15:00,weekly,sin_slot96,0.04319494217634201
day_ahead_price,xgb_only,flat,segment_model,2026-01-01 00:15:00,weekly,cos_slot96,0.008529949933290482
day_ahead_price,xgb_only,flat,segment_model,2026-01-01 00:15:00,weekly,is_holiday,0.01264151744544506
day_ahead_price,xgb_only,flat,segment_model,2026-01-01 00:15:00,weekly,is_workday,0.0
day_ahead_price,xgb_only,flat,segment_model,2026-01-01 00:15:00,weekly,is_weekend,0.0
day_ahead_price,xgb_only,flat,segment_model,2026-01-01 00:15:00,weekly,is_makeup_workday,0.000653321563731879
day_ahead_price,xgb_only,flat,segment_model,2026-01-01 00:15:00,weekly,before_holiday_1d,0.0
day_ahead_price,xgb_only,flat,segment_model,2026-01-01 00:15:00,weekly,after_holiday_1d,0.0
day_ahead_price,xgb_only,flat,segment_model,2026-01-01 00:15:00,weekly,holiday_name_Dragon Boat Festival,0.0
day_ahead_price,xgb_only,flat,segment_model,2026-01-01 00:15:00,weekly,holiday_name_Labour Day,0.0
day_ahead_price,xgb_only,flat,segment_model,2026-01-01 00:15:00,weekly,holiday_name_Mid-autumn Festival,0.0
day_ahead_price,xgb_only,flat,segment_model,2026-01-01 00:15:00,weekly,holiday_name_National Day,7.904799531388562e-06
day_ahead_price,xgb_only,flat,segment_model,2026-01-01 00:15:00,weekly,holiday_name_New Year's Day,0.0
day_ahead_price,xgb_only,flat,segment_model,2026-01-01 00:15:00,weekly,holiday_name_None,0.0
day_ahead_price,xgb_only,flat,segment_model,2026-01-01 00:15:00,weekly,holiday_name_Spring Festival,0.0
day_ahead_price,xgb_only,flat,segment_model,2026-01-01 00:15:00,weekly,holiday_name_Tomb-sweeping Day,0.0
