target,scheme,segment,model_scope,retrain_time,event_type,feature,importance
spread_day_ahead_price,xgb_only_spread,all,global_model,2026-01-02,daily_retrain,lag_1,0.026749854907393456
spread_day_ahead_price,xgb_only_spread,all,global_model,2026-01-02,daily_retrain,lag_7,0.017602471634745598
spread_day_ahead_price,xgb_only_spread,all,global_model,2026-01-02,daily_retrain,lag_14,0.018029846251010895
spread_day_ahead_price,xgb_only_spread,all,global_model,2026-01-02,daily_retrain,lag_28,0.014725558459758759
spread_day_ahead_price,xgb_only_spread,all,global_model,2026-01-02,daily_retrain,roll_mean_3,0.017816493287682533
spread_day_ahead_price,xgb_only_spread,all,global_model,2026-01-02,daily_retrain,roll_mean_7,0.03149905800819397
spread_day_ahead_price,xgb_only_spread,all,global_model,2026-01-02,daily_retrain,roll_mean_14,0.026899734511971474
spread_day_ahead_price,xgb_only_spread,all,global_model,2026-01-02,daily_retrain,roll_std_7,0.01615000329911709
spread_day_ahead_price,xgb_only_spread,all,global_model,2026-01-02,daily_retrain,diff_1,0.0
spread_day_ahead_price,xgb_only_spread,all,global_model,2026-01-02,daily_retrain,diff_7,0.03488832712173462
spread_day_ahead_price,xgb_only_spread,all,global_model,2026-01-02,daily_retrain,dayofweek,0.018247919157147408
spread_day_ahead_price,xgb_only_spread,all,global_model,2026-01-02,daily_retrain,is_weekend,0.0
spread_day_ahead_price,xgb_only_spread,all,global_model,2026-01-02,daily_retrain,month,0.014605487696826458
spread_day_ahead_price,xgb_only_spread,all,global_model,2026-01-02,daily_retrain,is_holiday,0.4093892574310303
spread_day_ahead_price,xgb_only_spread,all,global_model,2026-01-02,daily_retrain,is_workday,0.3151217997074127
spread_day_ahead_price,xgb_only_spread,all,global_model,2026-01-02,daily_retrain,is_makeup_workday,0.0
spread_day_ahead_price,xgb_only_spread,all,global_model,2026-01-02,daily_retrain,before_holiday_1d,0.017998896539211273
spread_day_ahead_price,xgb_only_spread,all,global_model,2026-01-02,daily_retrain,after_holiday_1d,0.020275311544537544
