target,scheme,segment,feature,importance_mean,importance_rank
spread_day_ahead_price,chronos_xgb_residual_spread_xgb_part,all,is_holiday,0.10801640525460243,1
spread_day_ahead_price,chronos_xgb_residual_spread_xgb_part,all,is_weekend,0.0955045223236084,2
spread_day_ahead_price,chronos_xgb_residual_spread_xgb_part,all,is_workday,0.08811623975634575,3
spread_day_ahead_price,chronos_xgb_residual_spread_xgb_part,all,dayofweek,0.07097100839018822,4
spread_day_ahead_price,chronos_xgb_residual_spread_xgb_part,all,after_holiday_1d,0.0690966509282589,5
spread_day_ahead_price,chronos_xgb_residual_spread_xgb_part,all,diff_7,0.06867487728595734,6
spread_day_ahead_price,chronos_xgb_residual_spread_xgb_part,all,roll_mean_7,0.06613820604979992,7
spread_day_ahead_price,chronos_xgb_residual_spread_xgb_part,all,roll_mean_14,0.06136597692966461,8
spread_day_ahead_price,chronos_xgb_residual_spread_xgb_part,all,month,0.05722040310502052,9
spread_day_ahead_price,chronos_xgb_residual_spread_xgb_part,all,lag_14,0.05234820395708084,10
spread_day_ahead_price,chronos_xgb_residual_spread_xgb_part,all,roll_std_7,0.05076473206281662,11
spread_day_ahead_price,chronos_xgb_residual_spread_xgb_part,all,roll_mean_3,0.05055141635239124,12
spread_day_ahead_price,chronos_xgb_residual_spread_xgb_part,all,lag_28,0.04113074764609337,13
spread_day_ahead_price,chronos_xgb_residual_spread_xgb_part,all,before_holiday_1d,0.03648126311600208,14
spread_day_ahead_price,chronos_xgb_residual_spread_xgb_part,all,lag_7,0.03496211674064398,15
spread_day_ahead_price,chronos_xgb_residual_spread_xgb_part,all,lag_1,0.03341225069016218,16
spread_day_ahead_price,chronos_xgb_residual_spread_xgb_part,all,is_makeup_workday,0.015244982205331326,17
spread_day_ahead_price,chronos_xgb_residual_spread_xgb_part,all,diff_1,0.0,18
spread_day_ahead_price,xgb_only_spread,all,is_holiday,0.3955950438976288,1
spread_day_ahead_price,xgb_only_spread,all,is_workday,0.3034282326698303,2
spread_day_ahead_price,xgb_only_spread,all,diff_7,0.03633732348680496,3
spread_day_ahead_price,xgb_only_spread,all,roll_mean_7,0.03291602060198784,4
spread_day_ahead_price,xgb_only_spread,all,dayofweek,0.02911448385566473,5
spread_day_ahead_price,xgb_only_spread,all,lag_1,0.027150330133736134,6
spread_day_ahead_price,xgb_only_spread,all,roll_mean_14,0.027141298167407513,7
spread_day_ahead_price,xgb_only_spread,all,after_holiday_1d,0.02563757263123989,8
spread_day_ahead_price,xgb_only_spread,all,before_holiday_1d,0.021107202395796776,9
spread_day_ahead_price,xgb_only_spread,all,roll_mean_3,0.01914402563124895,10
spread_day_ahead_price,xgb_only_spread,all,lag_14,0.018911520950496197,11
spread_day_ahead_price,xgb_only_spread,all,roll_std_7,0.016678249463438988,12
spread_day_ahead_price,xgb_only_spread,all,lag_7,0.016637583263218403,13
spread_day_ahead_price,xgb_only_spread,all,month,0.015340367797762156,14
spread_day_ahead_price,xgb_only_spread,all,lag_28,0.014860778581351042,15
spread_day_ahead_price,xgb_only_spread,all,diff_1,0.0,16
spread_day_ahead_price,xgb_only_spread,all,is_makeup_workday,0.0,17
spread_day_ahead_price,xgb_only_spread,all,is_weekend,0.0,18
spread_day_ahead_price,xgb_oof_train_spread,all,is_holiday,0.23694946522851593,1
spread_day_ahead_price,xgb_oof_train_spread,all,is_workday,0.11974463804887192,2
spread_day_ahead_price,xgb_oof_train_spread,all,month,0.0643932771263192,3
spread_day_ahead_price,xgb_oof_train_spread,all,diff_7,0.057141119234480904,4
spread_day_ahead_price,xgb_oof_train_spread,all,roll_mean_14,0.056733015942776084,5
spread_day_ahead_price,xgb_oof_train_spread,all,dayofweek,0.05537103606586896,6
spread_day_ahead_price,xgb_oof_train_spread,all,roll_mean_7,0.054120220714113085,7
spread_day_ahead_price,xgb_oof_train_spread,all,roll_mean_3,0.051930241612265414,8
spread_day_ahead_price,xgb_oof_train_spread,all,roll_std_7,0.04894296457828248,9
spread_day_ahead_price,xgb_oof_train_spread,all,before_holiday_1d,0.048228805719703005,10
spread_day_ahead_price,xgb_oof_train_spread,all,lag_1,0.047272126271742064,11
spread_day_ahead_price,xgb_oof_train_spread,all,lag_14,0.04602036574511852,12
spread_day_ahead_price,xgb_oof_train_spread,all,after_holiday_1d,0.04255409243977764,13
spread_day_ahead_price,xgb_oof_train_spread,all,lag_28,0.036978211669811925,14
spread_day_ahead_price,xgb_oof_train_spread,all,lag_7,0.027277174704138516,15
spread_day_ahead_price,xgb_oof_train_spread,all,is_weekend,0.006343238417384694,16
spread_day_ahead_price,xgb_oof_train_spread,all,diff_1,0.0,17
spread_day_ahead_price,xgb_oof_train_spread,all,is_makeup_workday,0.0,18
