target,scheme,retrain_cutoff_time,train_rows,event_type
spread_day_ahead_price,xgb_only_spread,2026-01-02,313,daily_retrain
spread_day_ahead_price,xgb_only_spread,2026-01-05,316,daily_retrain
spread_day_ahead_price,chronos_xgb_residual_spread_xgb_part,2026-01-02,285,daily_retrain
spread_day_ahead_price,chronos_xgb_residual_spread_xgb_part,2026-01-05,288,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-01-29,28,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-01-30,29,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-01-31,30,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-02-03,33,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-02-06,36,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-02-10,39,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-02-13,42,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-02-17,44,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-02-20,47,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-02-24,49,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-02-27,52,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-03-03,54,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-03-06,57,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-03-10,59,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-03-13,62,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-03-17,64,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-03-20,67,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-03-24,69,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-03-27,72,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-04-01,74,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-04-05,77,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-04-08,80,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-04-11,83,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-04-14,86,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-04-17,87,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-04-21,89,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-04-24,92,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-04-27,94,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-04-30,97,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-05-06,98,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-05-14,101,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-05-17,104,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-05-20,107,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-05-23,110,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-05-26,111,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-05-29,114,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-06-01,115,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-06-04,118,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-06-07,121,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-06-10,124,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-06-13,127,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-06-16,130,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-06-19,133,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-06-22,136,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-06-25,139,daily_retrain
