target,scheme,week_cutoff_time,week_end_time,segment,train_rows,event_type
real_time_price,xgb_only,2026-01-01 00:15:00,2026-01-08,valley,9408,weekly
real_time_price,xgb_only,2026-01-01 00:15:00,2026-01-08,flat,10584,weekly
real_time_price,xgb_only,2026-01-01 00:15:00,2026-01-08,peak,8232,weekly
real_time_price,xgb_only,2026-01-08 00:15:00,2026-01-15,valley,9632,weekly
real_time_price,xgb_only,2026-01-08 00:15:00,2026-01-15,flat,10836,weekly
real_time_price,xgb_only,2026-01-08 00:15:00,2026-01-15,peak,8428,weekly
real_time_price,xgb_only,2026-01-15 00:15:00,2026-01-22,valley,9856,weekly
real_time_price,xgb_only,2026-01-15 00:15:00,2026-01-22,flat,11088,weekly
real_time_price,xgb_only,2026-01-15 00:15:00,2026-01-22,peak,8624,weekly
real_time_price,xgb_only,2026-01-22 00:15:00,2026-01-29,valley,10080,weekly
real_time_price,xgb_only,2026-01-22 00:15:00,2026-01-29,flat,11340,weekly
real_time_price,xgb_only,2026-01-22 00:15:00,2026-01-29,peak,8820,weekly
real_time_price,xgb_only,2026-01-29 00:15:00,2026-02-05,valley,10304,weekly
real_time_price,xgb_only,2026-01-29 00:15:00,2026-02-05,flat,11592,weekly
real_time_price,xgb_only,2026-01-29 00:15:00,2026-02-05,peak,9016,weekly
real_time_price,xgb_only,2026-02-05 00:15:00,2026-02-12,valley,10528,weekly
real_time_price,xgb_only,2026-02-05 00:15:00,2026-02-12,flat,11844,weekly
real_time_price,xgb_only,2026-02-05 00:15:00,2026-02-12,peak,9212,weekly
real_time_price,xgb_only,2026-02-12 00:15:00,2026-02-19,valley,10752,weekly
real_time_price,xgb_only,2026-02-12 00:15:00,2026-02-19,flat,12096,weekly
real_time_price,xgb_only,2026-02-12 00:15:00,2026-02-19,peak,9408,weekly
real_time_price,xgb_only,2026-02-19 00:15:00,2026-02-26,valley,10976,weekly
real_time_price,xgb_only,2026-02-19 00:15:00,2026-02-26,flat,12348,weekly
real_time_price,xgb_only,2026-02-19 00:15:00,2026-02-26,peak,9604,weekly
real_time_price,xgb_only,2026-02-26 00:15:00,2026-03-02,valley,11200,weekly
real_time_price,xgb_only,2026-02-26 00:15:00,2026-03-02,flat,12600,weekly
real_time_price,xgb_only,2026-02-26 00:15:00,2026-03-02,peak,9800,weekly
real_time_price,chronos_xgb_residual_xgb_part,2026-01-01 00:15:00,2026-01-08,valley,9184,weekly
real_time_price,chronos_xgb_residual_xgb_part,2026-01-01 00:15:00,2026-01-08,flat,10332,weekly
real_time_price,chronos_xgb_residual_xgb_part,2026-01-01 00:15:00,2026-01-08,peak,8036,weekly
real_time_price,chronos_xgb_residual_xgb_part,2026-01-08 00:15:00,2026-01-15,valley,9408,weekly
real_time_price,chronos_xgb_residual_xgb_part,2026-01-08 00:15:00,2026-01-15,flat,10584,weekly
real_time_price,chronos_xgb_residual_xgb_part,2026-01-08 00:15:00,2026-01-15,peak,8232,weekly
real_time_price,chronos_xgb_residual_xgb_part,2026-01-15 00:15:00,2026-01-22,valley,9632,weekly
real_time_price,chronos_xgb_residual_xgb_part,2026-01-15 00:15:00,2026-01-22,flat,10836,weekly
real_time_price,chronos_xgb_residual_xgb_part,2026-01-15 00:15:00,2026-01-22,peak,8428,weekly
real_time_price,chronos_xgb_residual_xgb_part,2026-01-22 00:15:00,2026-01-29,valley,9856,weekly
real_time_price,chronos_xgb_residual_xgb_part,2026-01-22 00:15:00,2026-01-29,flat,11088,weekly
real_time_price,chronos_xgb_residual_xgb_part,2026-01-22 00:15:00,2026-01-29,peak,8624,weekly
real_time_price,chronos_xgb_residual_xgb_part,2026-01-29 00:15:00,2026-02-05,valley,10080,weekly
real_time_price,chronos_xgb_residual_xgb_part,2026-01-29 00:15:00,2026-02-05,flat,11340,weekly
real_time_price,chronos_xgb_residual_xgb_part,2026-01-29 00:15:00,2026-02-05,peak,8820,weekly
real_time_price,chronos_xgb_residual_xgb_part,2026-02-05 00:15:00,2026-02-12,valley,10304,weekly
real_time_price,chronos_xgb_residual_xgb_part,2026-02-05 00:15:00,2026-02-12,flat,11592,weekly
real_time_price,chronos_xgb_residual_xgb_part,2026-02-05 00:15:00,2026-02-12,peak,9016,weekly
real_time_price,chronos_xgb_residual_xgb_part,2026-02-12 00:15:00,2026-02-19,valley,10528,weekly
real_time_price,chronos_xgb_residual_xgb_part,2026-02-12 00:15:00,2026-02-19,flat,11844,weekly
real_time_price,chronos_xgb_residual_xgb_part,2026-02-12 00:15:00,2026-02-19,peak,9212,weekly
real_time_price,chronos_xgb_residual_xgb_part,2026-02-19 00:15:00,2026-02-26,valley,10752,weekly
real_time_price,chronos_xgb_residual_xgb_part,2026-02-19 00:15:00,2026-02-26,flat,12096,weekly
real_time_price,chronos_xgb_residual_xgb_part,2026-02-19 00:15:00,2026-02-26,peak,9408,weekly
real_time_price,chronos_xgb_residual_xgb_part,2026-02-26 00:15:00,2026-03-02,valley,10976,weekly
real_time_price,chronos_xgb_residual_xgb_part,2026-02-26 00:15:00,2026-03-02,flat,12348,weekly
real_time_price,chronos_xgb_residual_xgb_part,2026-02-26 00:15:00,2026-03-02,peak,9604,weekly
real_time_price,xgb_oof_train,2025-01-08 00:15:00,2025-01-15,valley,224,weekly
real_time_price,xgb_oof_train,2025-01-08 00:15:00,2025-01-15,flat,252,weekly
real_time_price,xgb_oof_train,2025-01-08 00:15:00,2025-01-15,peak,196,weekly
real_time_price,xgb_oof_train,2025-01-15 00:15:00,2025-01-22,valley,448,weekly
real_time_price,xgb_oof_train,2025-01-15 00:15:00,2025-01-22,flat,504,weekly
real_time_price,xgb_oof_train,2025-01-15 00:15:00,2025-01-22,peak,392,weekly
real_time_price,xgb_oof_train,2025-01-22 00:15:00,2025-01-29,valley,672,weekly
real_time_price,xgb_oof_train,2025-01-22 00:15:00,2025-01-29,flat,756,weekly
real_time_price,xgb_oof_train,2025-01-22 00:15:00,2025-01-29,peak,588,weekly
real_time_price,xgb_oof_train,2025-01-29 00:15:00,2025-02-05,valley,864,weekly
real_time_price,xgb_oof_train,2025-01-29 00:15:00,2025-02-05,flat,972,weekly
real_time_price,xgb_oof_train,2025-01-29 00:15:00,2025-02-05,peak,756,weekly
real_time_price,xgb_oof_train,2025-02-05 00:15:00,2025-02-12,valley,1056,weekly
real_time_price,xgb_oof_train,2025-02-05 00:15:00,2025-02-12,flat,1188,weekly
real_time_price,xgb_oof_train,2025-02-05 00:15:00,2025-02-12,peak,924,weekly
real_time_price,xgb_oof_train,2025-02-12 00:15:00,2025-02-19,valley,1248,weekly
real_time_price,xgb_oof_train,2025-02-12 00:15:00,2025-02-19,flat,1404,weekly
real_time_price,xgb_oof_train,2025-02-12 00:15:00,2025-02-19,peak,1092,weekly
real_time_price,xgb_oof_train,2025-02-19 00:15:00,2025-02-26,valley,1376,weekly
real_time_price,xgb_oof_train,2025-02-19 00:15:00,2025-02-26,flat,1548,weekly
real_time_price,xgb_oof_train,2025-02-19 00:15:00,2025-02-26,peak,1204,weekly
real_time_price,xgb_oof_train,2025-02-26 00:15:00,2025-03-05,valley,1536,weekly
real_time_price,xgb_oof_train,2025-02-26 00:15:00,2025-03-05,flat,1728,weekly
real_time_price,xgb_oof_train,2025-02-26 00:15:00,2025-03-05,peak,1344,weekly
real_time_price,xgb_oof_train,2025-03-05 00:15:00,2025-03-12,valley,1664,weekly
real_time_price,xgb_oof_train,2025-03-05 00:15:00,2025-03-12,flat,1872,weekly
real_time_price,xgb_oof_train,2025-03-05 00:15:00,2025-03-12,peak,1456,weekly
real_time_price,xgb_oof_train,2025-03-12 00:15:00,2025-03-19,valley,1792,weekly
real_time_price,xgb_oof_train,2025-03-12 00:15:00,2025-03-19,flat,2016,weekly
real_time_price,xgb_oof_train,2025-03-12 00:15:00,2025-03-19,peak,1568,weekly
real_time_price,xgb_oof_train,2025-03-19 00:15:00,2025-03-26,valley,1920,weekly
real_time_price,xgb_oof_train,2025-03-19 00:15:00,2025-03-26,flat,2160,weekly
real_time_price,xgb_oof_train,2025-03-19 00:15:00,2025-03-26,peak,1680,weekly
real_time_price,xgb_oof_train,2025-03-26 00:15:00,2025-04-02,valley,2016,weekly
real_time_price,xgb_oof_train,2025-03-26 00:15:00,2025-04-02,flat,2268,weekly
real_time_price,xgb_oof_train,2025-03-26 00:15:00,2025-04-02,peak,1764,weekly
real_time_price,xgb_oof_train,2025-04-02 00:15:00,2025-04-09,valley,2144,weekly
real_time_price,xgb_oof_train,2025-04-02 00:15:00,2025-04-09,flat,2412,weekly
real_time_price,xgb_oof_train,2025-04-02 00:15:00,2025-04-09,peak,1876,weekly
real_time_price,xgb_oof_train,2025-04-09 00:15:00,2025-04-16,valley,2336,weekly
real_time_price,xgb_oof_train,2025-04-09 00:15:00,2025-04-16,flat,2628,weekly
real_time_price,xgb_oof_train,2025-04-09 00:15:00,2025-04-16,peak,2044,weekly
real_time_price,xgb_oof_train,2025-04-16 00:15:00,2025-04-23,valley,2464,weekly
real_time_price,xgb_oof_train,2025-04-16 00:15:00,2025-04-23,flat,2772,weekly
real_time_price,xgb_oof_train,2025-04-16 00:15:00,2025-04-23,peak,2156,weekly
