target,scheme,week_cutoff_time,week_end_time,segment,train_rows
real_time_price,xgb_only,2026-01-01 00:15:00,2026-01-01 08:00:00,valley,9408
real_time_price,xgb_only,2026-01-01 00:15:00,2026-01-01 08:00:00,flat,10584
real_time_price,xgb_only,2026-01-01 00:15:00,2026-01-01 08:00:00,peak,8232
real_time_price,chronos_xgb_residual_xgb_part,2026-01-01 00:15:00,2026-01-01 08:00:00,valley,9184
real_time_price,chronos_xgb_residual_xgb_part,2026-01-01 00:15:00,2026-01-01 08:00:00,flat,10332
real_time_price,chronos_xgb_residual_xgb_part,2026-01-01 00:15:00,2026-01-01 08:00:00,peak,8036
real_time_price,xgb_oof_train,2025-01-08 00:15:00,2025-01-15 00:00:00,valley,224
real_time_price,xgb_oof_train,2025-01-08 00:15:00,2025-01-15 00:00:00,flat,252
real_time_price,xgb_oof_train,2025-01-08 00:15:00,2025-01-15 00:00:00,peak,196
real_time_price,xgb_oof_train,2025-01-15 00:15:00,2025-01-22 00:00:00,valley,448
real_time_price,xgb_oof_train,2025-01-15 00:15:00,2025-01-22 00:00:00,flat,504
real_time_price,xgb_oof_train,2025-01-15 00:15:00,2025-01-22 00:00:00,peak,392
real_time_price,xgb_oof_train,2025-01-22 00:15:00,2025-01-29 00:00:00,valley,672
real_time_price,xgb_oof_train,2025-01-22 00:15:00,2025-01-29 00:00:00,flat,756
real_time_price,xgb_oof_train,2025-01-22 00:15:00,2025-01-29 00:00:00,peak,588
real_time_price,xgb_oof_train,2025-01-29 00:15:00,2025-02-05 00:00:00,valley,864
real_time_price,xgb_oof_train,2025-01-29 00:15:00,2025-02-05 00:00:00,flat,972
real_time_price,xgb_oof_train,2025-01-29 00:15:00,2025-02-05 00:00:00,peak,756
real_time_price,xgb_oof_train,2025-02-05 00:15:00,2025-02-12 00:00:00,valley,1056
real_time_price,xgb_oof_train,2025-02-05 00:15:00,2025-02-12 00:00:00,flat,1188
real_time_price,xgb_oof_train,2025-02-05 00:15:00,2025-02-12 00:00:00,peak,924
real_time_price,xgb_oof_train,2025-02-12 00:15:00,2025-02-19 00:00:00,valley,1248
real_time_price,xgb_oof_train,2025-02-12 00:15:00,2025-02-19 00:00:00,flat,1404
real_time_price,xgb_oof_train,2025-02-12 00:15:00,2025-02-19 00:00:00,peak,1092
real_time_price,xgb_oof_train,2025-02-19 00:15:00,2025-02-26 00:00:00,valley,1376
real_time_price,xgb_oof_train,2025-02-19 00:15:00,2025-02-26 00:00:00,flat,1548
real_time_price,xgb_oof_train,2025-02-19 00:15:00,2025-02-26 00:00:00,peak,1204
real_time_price,xgb_oof_train,2025-02-26 00:15:00,2025-03-05 00:00:00,valley,1536
real_time_price,xgb_oof_train,2025-02-26 00:15:00,2025-03-05 00:00:00,flat,1728
real_time_price,xgb_oof_train,2025-02-26 00:15:00,2025-03-05 00:00:00,peak,1344
real_time_price,xgb_oof_train,2025-03-05 00:15:00,2025-03-12 00:00:00,valley,1664
real_time_price,xgb_oof_train,2025-03-05 00:15:00,2025-03-12 00:00:00,flat,1872
real_time_price,xgb_oof_train,2025-03-05 00:15:00,2025-03-12 00:00:00,peak,1456
real_time_price,xgb_oof_train,2025-03-12 00:15:00,2025-03-19 00:00:00,valley,1792
real_time_price,xgb_oof_train,2025-03-12 00:15:00,2025-03-19 00:00:00,flat,2016
real_time_price,xgb_oof_train,2025-03-12 00:15:00,2025-03-19 00:00:00,peak,1568
real_time_price,xgb_oof_train,2025-03-19 00:15:00,2025-03-26 00:00:00,valley,1920
real_time_price,xgb_oof_train,2025-03-19 00:15:00,2025-03-26 00:00:00,flat,2160
real_time_price,xgb_oof_train,2025-03-19 00:15:00,2025-03-26 00:00:00,peak,1680
real_time_price,xgb_oof_train,2025-03-26 00:15:00,2025-04-02 00:00:00,valley,2016
real_time_price,xgb_oof_train,2025-03-26 00:15:00,2025-04-02 00:00:00,flat,2268
real_time_price,xgb_oof_train,2025-03-26 00:15:00,2025-04-02 00:00:00,peak,1764
real_time_price,xgb_oof_train,2025-04-02 00:15:00,2025-04-09 00:00:00,valley,2144
real_time_price,xgb_oof_train,2025-04-02 00:15:00,2025-04-09 00:00:00,flat,2412
real_time_price,xgb_oof_train,2025-04-02 00:15:00,2025-04-09 00:00:00,peak,1876
real_time_price,xgb_oof_train,2025-04-09 00:15:00,2025-04-16 00:00:00,valley,2336
real_time_price,xgb_oof_train,2025-04-09 00:15:00,2025-04-16 00:00:00,flat,2628
real_time_price,xgb_oof_train,2025-04-09 00:15:00,2025-04-16 00:00:00,peak,2044
real_time_price,xgb_oof_train,2025-04-16 00:15:00,2025-04-23 00:00:00,valley,2464
real_time_price,xgb_oof_train,2025-04-16 00:15:00,2025-04-23 00:00:00,flat,2772
real_time_price,xgb_oof_train,2025-04-16 00:15:00,2025-04-23 00:00:00,peak,2156
real_time_price,xgb_oof_train,2025-04-23 00:15:00,2025-04-30 00:00:00,valley,2624
real_time_price,xgb_oof_train,2025-04-23 00:15:00,2025-04-30 00:00:00,flat,2952
real_time_price,xgb_oof_train,2025-04-23 00:15:00,2025-04-30 00:00:00,peak,2296
real_time_price,xgb_oof_train,2025-04-30 00:15:00,2025-05-07 00:00:00,valley,2784
real_time_price,xgb_oof_train,2025-04-30 00:15:00,2025-05-07 00:00:00,flat,3132
real_time_price,xgb_oof_train,2025-04-30 00:15:00,2025-05-07 00:00:00,peak,2436
real_time_price,xgb_oof_train,2025-05-07 00:15:00,2025-05-14 00:00:00,valley,2848
real_time_price,xgb_oof_train,2025-05-07 00:15:00,2025-05-14 00:00:00,flat,3204
real_time_price,xgb_oof_train,2025-05-07 00:15:00,2025-05-14 00:00:00,peak,2492
real_time_price,xgb_oof_train,2025-05-14 00:15:00,2025-05-21 00:00:00,valley,2880
real_time_price,xgb_oof_train,2025-05-14 00:15:00,2025-05-21 00:00:00,flat,3240
real_time_price,xgb_oof_train,2025-05-14 00:15:00,2025-05-21 00:00:00,peak,2520
real_time_price,xgb_oof_train,2025-05-21 00:15:00,2025-05-28 00:00:00,valley,3072
real_time_price,xgb_oof_train,2025-05-21 00:15:00,2025-05-28 00:00:00,flat,3456
real_time_price,xgb_oof_train,2025-05-21 00:15:00,2025-05-28 00:00:00,peak,2688
real_time_price,xgb_oof_train,2025-05-28 00:15:00,2025-06-04 00:00:00,valley,3232
real_time_price,xgb_oof_train,2025-05-28 00:15:00,2025-06-04 00:00:00,flat,3636
real_time_price,xgb_oof_train,2025-05-28 00:15:00,2025-06-04 00:00:00,peak,2828
real_time_price,xgb_oof_train,2025-06-04 00:15:00,2025-06-11 00:00:00,valley,3392
real_time_price,xgb_oof_train,2025-06-04 00:15:00,2025-06-11 00:00:00,flat,3816
real_time_price,xgb_oof_train,2025-06-04 00:15:00,2025-06-11 00:00:00,peak,2968
real_time_price,xgb_oof_train,2025-06-11 00:15:00,2025-06-18 00:00:00,valley,3616
real_time_price,xgb_oof_train,2025-06-11 00:15:00,2025-06-18 00:00:00,flat,4068
real_time_price,xgb_oof_train,2025-06-11 00:15:00,2025-06-18 00:00:00,peak,3164
