target,scheme,week_cutoff_time,week_end_time,segment,train_rows,event_type
day_ahead_price,xgb_only,2026-01-01 00:15:00,2026-01-01 01:00:00,valley,9984,weekly
day_ahead_price,xgb_only,2026-01-01 00:15:00,2026-01-01 01:00:00,flat,11232,weekly
day_ahead_price,xgb_only,2026-01-01 00:15:00,2026-01-01 01:00:00,peak,8736,weekly
day_ahead_price,chronos_xgb_residual_xgb_part,2026-01-01 00:15:00,2026-01-01 01:00:00,valley,9760,weekly
day_ahead_price,chronos_xgb_residual_xgb_part,2026-01-01 00:15:00,2026-01-01 01:00:00,flat,10980,weekly
day_ahead_price,chronos_xgb_residual_xgb_part,2026-01-01 00:15:00,2026-01-01 01:00:00,peak,8540,weekly
day_ahead_price,xgb_oof_train,2025-01-08 00:15:00,2025-01-15 00:00:00,valley,224,weekly
day_ahead_price,xgb_oof_train,2025-01-08 00:15:00,2025-01-15 00:00:00,flat,252,weekly
day_ahead_price,xgb_oof_train,2025-01-08 00:15:00,2025-01-15 00:00:00,peak,196,weekly
day_ahead_price,xgb_oof_train,2025-01-15 00:15:00,2025-01-22 00:00:00,valley,448,weekly
day_ahead_price,xgb_oof_train,2025-01-15 00:15:00,2025-01-22 00:00:00,flat,504,weekly
day_ahead_price,xgb_oof_train,2025-01-15 00:15:00,2025-01-22 00:00:00,peak,392,weekly
day_ahead_price,xgb_oof_train,2025-01-22 00:15:00,2025-01-29 00:00:00,valley,672,weekly
day_ahead_price,xgb_oof_train,2025-01-22 00:15:00,2025-01-29 00:00:00,flat,756,weekly
day_ahead_price,xgb_oof_train,2025-01-22 00:15:00,2025-01-29 00:00:00,peak,588,weekly
day_ahead_price,xgb_oof_train,2025-01-29 00:15:00,2025-02-05 00:00:00,valley,896,weekly
day_ahead_price,xgb_oof_train,2025-01-29 00:15:00,2025-02-05 00:00:00,flat,1008,weekly
day_ahead_price,xgb_oof_train,2025-01-29 00:15:00,2025-02-05 00:00:00,peak,784,weekly
day_ahead_price,xgb_oof_train,2025-02-05 00:15:00,2025-02-12 00:00:00,valley,1120,weekly
day_ahead_price,xgb_oof_train,2025-02-05 00:15:00,2025-02-12 00:00:00,flat,1260,weekly
day_ahead_price,xgb_oof_train,2025-02-05 00:15:00,2025-02-12 00:00:00,peak,980,weekly
day_ahead_price,xgb_oof_train,2025-02-12 00:15:00,2025-02-19 00:00:00,valley,1312,weekly
day_ahead_price,xgb_oof_train,2025-02-12 00:15:00,2025-02-19 00:00:00,flat,1476,weekly
day_ahead_price,xgb_oof_train,2025-02-12 00:15:00,2025-02-19 00:00:00,peak,1148,weekly
day_ahead_price,xgb_oof_train,2025-02-19 00:15:00,2025-02-26 00:00:00,valley,1472,weekly
day_ahead_price,xgb_oof_train,2025-02-19 00:15:00,2025-02-26 00:00:00,flat,1656,weekly
day_ahead_price,xgb_oof_train,2025-02-19 00:15:00,2025-02-26 00:00:00,peak,1288,weekly
day_ahead_price,xgb_oof_train,2025-02-26 00:15:00,2025-03-05 00:00:00,valley,1632,weekly
day_ahead_price,xgb_oof_train,2025-02-26 00:15:00,2025-03-05 00:00:00,flat,1836,weekly
day_ahead_price,xgb_oof_train,2025-02-26 00:15:00,2025-03-05 00:00:00,peak,1428,weekly
day_ahead_price,xgb_oof_train,2025-03-05 00:15:00,2025-03-12 00:00:00,valley,1792,weekly
day_ahead_price,xgb_oof_train,2025-03-05 00:15:00,2025-03-12 00:00:00,flat,2016,weekly
day_ahead_price,xgb_oof_train,2025-03-05 00:15:00,2025-03-12 00:00:00,peak,1568,weekly
day_ahead_price,xgb_oof_train,2025-03-12 00:15:00,2025-03-19 00:00:00,valley,1952,weekly
day_ahead_price,xgb_oof_train,2025-03-12 00:15:00,2025-03-19 00:00:00,flat,2196,weekly
