target,scheme,retrain_cutoff_time,train_rows,event_type
spread_day_ahead_price,xgb_only_spread,2026-01-02,313,daily_retrain
spread_day_ahead_price,xgb_only_spread,2026-01-04,315,daily_retrain
spread_day_ahead_price,chronos_xgb_residual_spread_xgb_part,2026-01-02,285,daily_retrain
spread_day_ahead_price,chronos_xgb_residual_spread_xgb_part,2026-01-04,287,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-01-29,28,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-01-30,29,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-01-31,30,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-02-02,32,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-02-04,34,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-02-06,36,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-02-08,38,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-02-10,39,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-02-12,41,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-02-14,43,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-02-17,44,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-02-19,46,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-02-21,48,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-02-24,49,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-02-26,51,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-02-28,53,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-03-03,54,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-03-05,56,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-03-07,58,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-03-10,59,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-03-12,61,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-03-14,63,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-03-17,64,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-03-19,66,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-03-21,68,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-03-24,69,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-03-26,71,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-03-28,73,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-04-01,74,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-04-03,76,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-04-05,77,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-04-07,79,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-04-09,81,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-04-11,83,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-04-13,85,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-04-17,87,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-04-21,89,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-04-23,91,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-04-25,93,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-04-27,94,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-04-29,96,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-05-06,98,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-05-08,100,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-05-14,101,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-05-16,103,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-05-18,105,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-05-20,107,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-05-22,109,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-05-26,111,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-05-28,113,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-06-01,115,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-06-03,117,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-06-05,119,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-06-07,121,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-06-09,123,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-06-11,125,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-06-13,127,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-06-15,129,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-06-17,131,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-06-19,133,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-06-21,135,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-06-23,137,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-06-25,139,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-06-27,141,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-06-29,143,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-07-01,145,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-07-03,147,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-07-05,149,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-07-07,151,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-07-09,153,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-07-11,155,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-07-13,157,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-07-15,159,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-07-17,161,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-07-19,163,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-07-21,165,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-07-23,167,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-07-25,169,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-07-27,171,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-07-29,173,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-07-31,175,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-08-02,177,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-08-04,179,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-08-06,181,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-08-08,183,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-08-10,185,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-08-12,187,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-08-14,189,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-08-16,191,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-08-18,193,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-08-20,195,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-08-22,197,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-08-24,199,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-08-26,201,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-08-28,203,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-08-30,205,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-09-01,207,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-09-03,209,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-09-05,211,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-09-07,213,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-09-09,215,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-09-11,217,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-09-13,219,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-09-15,221,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-09-17,223,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-09-19,225,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-09-21,227,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-09-23,229,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-09-25,231,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-09-27,233,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-09-29,235,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-10-01,237,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-10-03,239,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-10-05,241,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-10-07,243,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-10-09,245,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-10-11,247,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-10-13,249,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-10-15,251,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-10-17,253,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-10-20,255,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-10-22,257,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-10-25,259,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-10-27,261,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-10-30,262,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-11-01,264,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-11-03,265,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-11-05,267,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-11-07,269,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-11-10,271,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-11-12,273,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-11-15,275,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-11-17,276,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-11-19,278,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-11-21,280,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-11-23,282,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-11-25,284,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-11-28,285,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-11-30,287,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-12-04,289,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-12-06,291,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-12-08,293,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-12-11,294,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-12-13,296,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-12-15,298,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-12-18,299,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-12-20,301,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-12-22,303,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-12-24,305,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-12-26,306,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-12-28,308,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2025-12-30,310,daily_retrain
spread_day_ahead_price,xgb_oof_train_spread,2026-01-01,312,daily_retrain
