日期,时间,负荷预测D-1,负荷实际值,外送预测D-1,外送实际值,风电预测D-1,风电实际值,光伏预测D-1,光伏实际值,开机容量,负荷率D-1,负荷率D,实时电价,日前电价
2025/6/1,00:15,27267.1,26951.57,4623,4714.112,5259.15,4022.008,0.05,4.028,38315,69.51%,72.14%,351,340
2025/6/1,00:30,27105.7,26762.04,4617,4878.497,5155.84,4129.472,0.1,4.013,38315,69.34%,71.79%,351,330
2025/6/1,00:45,26803.2,26942.09,4613,4406.741,5072.85,4175.291,0.15,4.011,38315,68.75%,70.91%,351,318
2025/6/1,01:00,26541.1,26624.38,4609,4579.633,4967.81,4034.872,0.2,4.012,38315,68.33%,70.90%,350,310
2025/6/1,01:15,26339.4,26435.13,4605,5165.295,4858.31,3930.497,0.25,4.016,38315,68.08%,72.21%,351,323
2025/6/1,01:30,26178.1,26117.63,4603,5120.233,4745.3,3760.588,0.29,3.786,38315,67.95%,71.70%,351,310
2025/6/1,01:45,26036.9,25919.73,4605,5034.212,4629.12,3621.485,0.34,3.741,38315,67.89%,71.33%,350,310
2025/6/1,02:00,25895.8,25555.08,4603,5179.49,4508.67,3382.592,0.39,3.744,38315,67.83%,71.38%,350,313
2025/6/1,02:15,25714.3,25500.4,4605,4864.34,4392.49,3407.04,0.44,3.761,38315,67.67%,70.35%,351,310
2025/6/1,02:30,25673.9,25357.06,4605,4972.434,4280.95,3445.657,0.48,3.763,38315,67.85%,70.16%,351,300
2025/6/1,02:45,25573.1,25228.64,4605,4845.639,4166.08,3465.194,0.53,3.751,38315,67.89%,69.44%,348,310
2025/6/1,03:00,25512.6,25234.7,4605,4752.61,4051.66,3478.711,0.58,3.764,38315,68.03%,69.18%,350,310
2025/6/1,03:15,25331.1,25197.6,4605,4758.694,3943.45,3400.889,0.62,3.772,38315,67.84%,69.30%,339.4,319
2025/6/1,03:30,25230.3,25060.49,4604,4897.982,3844.49,3277.698,0.67,3.77,38315,67.83%,69.63%,335,306
2025/6/1,03:45,25169.8,25063.46,4604,4889.021,3744.39,3118.818,0.71,3.769,38315,67.93%,70.02%,334,330
2025/6/1,04:00,25129.5,24813.07,4604,4992.807,3651.73,3095.705,0.76,3.778,38315,68.07%,69.70%,330,310
2025/6/1,04:15,25109.3,24761.87,4604,4696.66,3576.88,3093.088,0.79,3.811,38315,68.21%,68.80%,350,350
2025/6/1,04:30,25089.1,24716.52,4602,4691.506,3504.09,2982.363,0.84,3.825,38315,68.34%,68.96%,336,323
2025/6/1,04:45,25089.1,24743.9,4604,4716.074,3437.12,2871.534,0.93,3.842,38315,68.52%,69.38%,335,330
2025/6/1,05:00,25089.1,24668.36,4603,4727.891,3358.35,2644.052,2.61,3.776,38315,68.72%,69.81%,351,330
2025/6/1,05:15,25129.5,25037.37,4618,4793.765,3292.19,2549.697,23.4,6.175,38315,68.99%,71.19%,351,348
2025/6/1,05:30,25290.8,25098.94,4618,4656.465,3226.78,2567.632,72.73,82.421,38315,69.45%,70.74%,350,351
2025/6/1,05:45,25593.3,25440.66,4618,4775.257,3171.76,2546.589,176.55,308.631,38315,70.11%,71.41%,351,351
2025/6/1,06:00,25815.1,25683.27,4618,4536.063,3120.67,2435.261,356.94,525.987,38315,70.35%,71.14%,351,351
2025/6/1,06:15,25996.6,25750.82,4622,4642.894,3067.81,2293.792,609.19,805.84,38315,70.32%,71.24%,351,351
